name,name_variants,papers_with_clevers,first_copublication,last_copublication,group_affiliation_first_year,group_affiliation_last_year,evidence_tier,site,role_assigned,role_source
"Farin, Henner F","Farin, Henner | Farin, Henner F",17,2011,2023,2012,2016,A,Hubrecht/NIOB,,
"Pleguezuelos-Manzano, Cayetano","Pleguezuelos-Manzano, Cayetano",17,2020,2026,2020,2026,A,Hubrecht/NIOB,,
"Gregorieff, Alexander","Gregorieff, Alex | Gregorieff, Alexander",16,2003,2018,2004,2018,A,Hubrecht/NIOB,,
"Nieuwenhuis, Edward E S","Nieuwenhuis, Edward | Nieuwenhuis, Edward E S",16,2012,2026,2025,2025,A,Princess Máxima,,
"Rookmaaker, Maarten B","Rookmaaker, Maarten | Rookmaaker, Maarten B",16,2012,2026,,,C,,,
"Verhaar, Marianne C","Verhaar, Marianne | Verhaar, Marianne C",16,2012,2026,,,C,,,
"Rios, Anne C","Rios, Anne | Rios, Anne C",16,2018,2025,2018,2025,A,Hubrecht/NIOB + Princess Máxima,,
"Sasaki, Nobuo","Sasaki, Nobuo",15,2012,2019,2012,2019,A,Hubrecht/NIOB + Princess Máxima,,
"Andersson-Rolf, Amanda","Andersson-Rolf, Amanda",15,2013,2026,2020,2024,A,Hubrecht/NIOB,,
"Gehart, Helmuth","Gehart, Helmuth",15,2014,2024,2014,2022,A,Hubrecht/NIOB,,
"van Son, Gijs J F","van Son, Gijs | van Son, Gijs J F",15,2019,2026,2019,2026,A,Hubrecht/NIOB + Princess Máxima,,
"Batlle, Eduard","Batlle, Eduard",14,2002,2022,2002,2005,A,Hubrecht/NIOB + UMC Utrecht Immunology,,
"Hatzis, Pantelis","Hatzis, Pantelis",14,2005,2021,2008,2014,A,Hubrecht/NIOB,,
"Heck, Albert J R","Heck, Albert J | Heck, Albert J R",14,2009,2025,,,C,,,
"Beekman, Jeffrey M","Beekman, Jeffrey | Beekman, Jeffrey M",14,2013,2025,2015,2016,A,UMC Utrecht Immunology,,
"Dekkers, Johanna F","Dekkers, Johanna F",14,2013,2024,2016,2024,A,Hubrecht/NIOB + Princess Máxima + UMC Utrecht Immunology,,
"Hendriks, Delilah","Hendriks, Delilah",14,2020,2024,2020,2024,A,Hubrecht/NIOB + Princess Máxima,,
"van de Wetering, Willine J","Van de Wetering, Wiline J | van de Wetering, Willine J",14,2020,2026,2020,2020,A,Hubrecht/NIOB,,
"Clarke, Alan R","Clarke, A R | Clarke, Alan R",13,2002,2025,,,C,,,
"Kujala, Pekka","Kujala, Pekka",13,2007,2017,,,C,,,
"Mokry, Michal","Mokry, Michal",13,2010,2026,2010,2011,A,Hubrecht/NIOB,,
"Oosterwegel, M A","Oosterwegel, M | Oosterwegel, M A",12,1991,1996,1991,1993,A,UMC Utrecht Immunology,,
"Offerhaus, George Johan","Offerhaus, G J A | Offerhaus, G Johan | Offerhaus, G Johan A | Offerhaus, George Johan",12,2004,2019,,,C,,,
"Wang, Xiangdong","Wang, Xiangdong | Wang, Xiao-Fan | Wang, Xiaohu | Wang, Xiaowei | Wang, Xiaoyan | Wang, Xiaoying | Wang, Xin | Wang, Xinwei | Wang, Xuechun",12,2010,2025,,,C,,,
"Chuva de Sousa Lopes, Susana M","Chuva de Sousa Lopes, Susana | Chuva de Sousa Lopes, Susana M",12,2018,2024,,,C,,,
"Holstege, Frank C P","Holstege, F | Holstege, F C | Holstege, Frank | Holstege, Frank C P",11,1991,2024,2019,2024,A,Princess Máxima,,
"Kuipers, Jeroen","Kuipers, J | Kuipers, Jeroen",11,1993,2015,1999,1999,A,UMC Utrecht Immunology,,
"Schilham, M W","Schilham, M W",11,1993,2000,1993,1997,A,UMC Utrecht Immunology,,
"Pals, Steven T","Pals, S T | Pals, Steven | Pals, Steven T",11,1999,2020,,,C,,,
"Staal, Frank J T","Staal, F J | Staal, Frank J T",11,1999,2012,1999,2001,A,UMC Utrecht Immunology,,
"Haegebarth, Andrea","Haegebarth, Andrea",11,2006,2015,2009,2015,A,Hubrecht/NIOB,,
"Mohammed, Shabaz","Mohammed, Shabaz",11,2009,2025,,,C,,,
"Van den Brink, Stieneke","Van den Brink, Stieneke | van den Brink, Stieneke",11,2010,2025,2017,2025,A,Hubrecht/NIOB,,
"Karthaus, Wouter R","Karthaus, Wouter | Karthaus, Wouter R",11,2011,2019,2014,2016,A,Hubrecht/NIOB,,
"Mizutani, Tomohiro","Mizutani, Tomohiro",11,2012,2024,2017,2024,A,Hubrecht/NIOB,,
"Ringnalda, Femke C A S","Ringnalda, Femke | Ringnalda, Femke C | Ringnalda, Femke C A | Ringnalda, Femke C A S",11,2013,2025,2018,2025,A,Hubrecht/NIOB + Princess Máxima,,
"Margaritis, Thanasis","Margaritis, Thanasis",11,2019,2025,2019,2025,A,Princess Máxima,,
"Busslinger, Georg A","Busslinger, Georg | Busslinger, Georg A",11,2020,2026,2020,2026,A,Hubrecht/NIOB + Princess Máxima,,
"van der Vaart, Jelte Y","van der Vaart, J | van der Vaart, Jelte | van der Vaart, Jelte Y",11,2020,2026,2020,2021,A,Hubrecht/NIOB,,
"Wijngaard, P L","Wijngaard, P | Wijngaard, P L",10,1991,1997,1992,1994,A,UMC Utrecht Immunology,,
"Sancho, Elena","Sancho, Elena",10,2002,2022,2003,2003,A,Hubrecht/NIOB,,
"Muncan, Vanesa","Muncan, Vanesa",10,2003,2025,2006,2018,A,Hubrecht/NIOB,,
"Taketo, Makoto M","Taketo, M M | Taketo, M Mark | Taketo, Makoto M | Taketo, Mark M",10,2003,2025,2014,2014,A,Hubrecht/NIOB,,
"Van der Flier, Laurens G","Van der Flier, Laurens G | van der Flier, Laurens G",10,2006,2015,2006,2015,A,Hubrecht/NIOB,,
"Ridgway, Rachel A","Ridgway, Rachel A",10,2008,2025,,,C,,,
"van Rheenen, Jacco","van Rheenen, Jacco",10,2010,2025,2014,2019,A,Hubrecht/NIOB,,
"Tuveson, David A","Tuveson, David | Tuveson, David A",10,2011,2022,,,C,,,
"Dayton, Talya L","Dayton, Talya | Dayton, Talya L",10,2017,2025,2017,2025,A,Hubrecht/NIOB,,
"Geurts, Veerle E","Geurts, Veerle | Geurts, Veerle E",10,2019,2026,2019,2026,A,Hubrecht/NIOB,,
"Tans, Sander J","Tans, Sander | Tans, Sander J",10,2019,2025,,,C,,,
"van Zon, Jeroen S","van Zon, Jeroen | van Zon, Jeroen S",10,2019,2025,,,C,,,
"Boot, Charelle","Boot, Charelle",10,2020,2026,2020,2026,A,Hubrecht/NIOB,,
"Lin, Lin","Lin, Lin",10,2022,2025,2022,2025,A,Hubrecht/NIOB + Princess Máxima,,
"Dooijes, D","Dooijes, D",9,1991,2000,1993,1998,A,UMC Utrecht Immunology,,
"Destree, Olivier","Destree, O | Destree, Olivier | Destrée, O | Destrée, Olivier",9,1993,2005,,,C,,,
"Moerer, Petra","Moerer, P | Moerer, Petra",9,1996,2002,,,C,,,
"Chen, Ye-Guang","Chen, Ye-Guang | Chen, Yikuan | Chen, Ying | Chen, Yu | Chen, Yun",9,2009,2025,,,C,,,
"Schuijers, Jurian","Schuijers, Jurian",9,2010,2015,2012,2015,A,Hubrecht/NIOB,,
"Zhou, Jian","Zhou, Jian | Zhou, Jie | Zhou, Jing | Zhou, Jun",9,2011,2025,,,C,,,
"Spee, Bart","Spee, Bart",9,2015,2021,,,C,,,
"Wu, Wei","Wu, Wei",9,2020,2024,,,C,,,
"Pou Casellas, Carla","Pou Casellas, Carla",9,2021,2026,2021,2026,A,Hubrecht/NIOB,,
"Korinek, V","Korinek, V",8,1996,1999,1997,1998,A,UMC Utrecht Immunology,,
"Hurlstone, Adam F L","Hurlstone, A | Hurlstone, Adam | Hurlstone, Adam F L",8,2001,2007,2002,2003,A,Hubrecht/NIOB + UMC Utrecht Immunology,,
"van Noort, Mascha","van Noort, M | van Noort, Mascha",8,2001,2007,2002,2002,A,UMC Utrecht Immunology,,
"Baas, Annette F","Baas, A F | Baas, Annette | Baas, Annette F",8,2003,2014,2003,2004,A,Hubrecht/NIOB,,
"Nusse, Roeland","Nusse, Roel | Nusse, Roeland",8,2004,2022,,,C,,,
"Phesse, Toby J","Phesse, Toby J",8,2006,2025,,,C,,,
"Maurice, Madelon M","Maurice, Madelon M",8,2007,2026,,,C,,,
"Mahmoudi, Tokameh","Mahmoudi, Tokameh",8,2009,2025,2009,2025,A,Hubrecht/NIOB,,
"Bartfeld, Sina","Bartfeld, Sina",8,2010,2018,2014,2018,A,Hubrecht/NIOB,,
"Simons, Benjamin D","Simons, Benjamin D",8,2010,2019,,,C,,,
"Kranenburg, Onno W","Kranenburg, O | Kranenburg, Onno | Kranenburg, Onno W",8,2011,2023,,,C,,,
"Lyubimova, Anna","Lyubimova, Anna",8,2011,2019,2015,2019,A,Hubrecht/NIOB,,
"Schneeberger, Kerstin","Schneeberger, Kerstin",8,2012,2020,,,C,,,
"Heo, Inha","Heo, Inha",8,2013,2021,2015,2021,A,Hubrecht/NIOB,,
"de Koning, Eelco J P","de Koning, Eelco | de Koning, Eelco J P",8,2013,2024,2016,2021,A,Hubrecht/NIOB,,
"van der Ent, Cornelis K","van der Ent, Cornelis K",8,2013,2020,,,C,,,
"Verstegen, Monique M A","Verstegen, Monique M A | Verstegen, Monique Ma",8,2014,2021,,,C,,,
"van der Laan, Luc J W","van der Laan, Luc J W | van der Laan, Luc Jw",8,2014,2021,,,C,,,
"Ponsioen, Bas","Ponsioen, Bas",8,2015,2023,,,C,,,
"Dutta, Devanjali","Dutta, Devanjali",8,2017,2023,2017,2023,A,Hubrecht/NIOB,,
"Kopper, Oded","Kopper, Oded",8,2017,2023,2017,2023,A,Hubrecht/NIOB,,
"Post, Yorick","Post, Yorick",8,2018,2021,2018,2021,A,Hubrecht/NIOB,,
"Wang, Daisong","Wang, Daisong | Wang, Dong",8,2018,2025,2022,2025,A,Hubrecht/NIOB,,
"Oka, Rurika","Oka, Rurika",8,2019,2024,2019,2024,A,Princess Máxima,,
"Haagmans, Bart L","Haagmans, Bart | Haagmans, Bart L",8,2020,2024,,,C,,,
"Yousef Yengej, Fjodor A","Yousef Yengej, Fjodor A",8,2020,2026,2020,2026,A,Hubrecht/NIOB,,
"Krueger, Daniel","Krueger, Daniel",8,2024,2026,2024,2026,A,Hubrecht/NIOB,,
"Terhorst, C","Terhorst, C",7,1987,1989,,,C,,,
"Bast, Bert J E G","Bast, B J | Bast, Bert J E G | Bast, Bjeg",7,1992,2008,,,C,,,
"Hu, Huili","Hu, H Z | Hu, Huili",7,1993,2023,2018,2023,A,Hubrecht/NIOB,,
"Molenaar, Martijn R","Molenaar, M | Molenaar, Martijn R",7,1996,2017,1996,2000,A,Hubrecht/NIOB + UMC Utrecht Immunology,,
"van Beest, M","van Beest, M",7,1997,2006,1998,2000,A,UMC Utrecht Immunology,,
"Huls, Gerwin","Huls, G | Huls, Gerwin",7,1998,2012,,,C,,,
"Haramis, Anna-Pavlina G","Haramis, Anna Pavlina | Haramis, Anna-Pavlina | Haramis, Anna-Pavlina G",7,2002,2011,2004,2006,A,Hubrecht/NIOB,,
"Spaargaren, Marcel","Spaargaren, M | Spaargaren, Marcel",7,2004,2020,,,C,,,
"Winton, Douglas J","Winton, Doug J | Winton, Douglas J",7,2004,2025,,,C,,,
"Wang, Jingqiang","Wang, Jianbin | Wang, Jin | Wang, Jincheng | Wang, Jingjing | Wang, Jingqiang | Wang, Juehu | Wang, Jun",7,2005,2023,,,C,,,
"Voest, Emile Eugene","Voest, E E | Voest, Emile E | Voest, Emile Eugene",7,2006,2020,2015,2015,A,Hubrecht/NIOB,,
"Chan, Anthony K W","Chan, Andy | Chan, Annie S Y | Chan, Annie Sy | Chan, Anthony K W | Chan, April S",7,2010,2025,,,C,,,
"Leung, Suet Yi","Leung, Suet Yi",7,2010,2025,,,C,,,
"Liu, X Shirley","Liu, X Shirley | Liu, Xiaojuan | Liu, Xindong",7,2010,2025,,,C,,,
"Zhang, Lixing","Zhang, Liguo | Zhang, Likun | Zhang, Lin | Zhang, Linqi | Zhang, Lixing | Zhang, Long",7,2010,2025,,,C,,,
"Schepers, Arnout G","Schepers, Arnout | Schepers, Arnout G",7,2011,2013,2011,2012,A,Hubrecht/NIOB,,
"Jonkers, Jos","Jonkers, Jos",7,2012,2020,,,C,,,
"Middendorp, Sabine","Middendorp, Sabine",7,2012,2016,,,C,,,
"Peng, Weng Chuan","Peng, Weng Chuan",7,2013,2024,2020,2024,A,Princess Máxima,,
"Schwank, Gerald","Schwank, Gerald",7,2013,2020,2013,2016,A,Hubrecht/NIOB,,
"Wang, Hongmei","Wang, Haibin | Wang, Haibo | Wang, Hao | Wang, Haojie | Wang, Hong | Wang, Hongmei | Wang, Hua | Wang, Hui",7,2013,2023,,,C,,,
"de Winter-de Groot, Karin M","de Winter-de Groot, Karin M",7,2013,2020,,,C,,,
"Blokzijl, Francis","Blokzijl, Francis",7,2014,2017,2014,2016,A,Hubrecht/NIOB,,
"Kester, Lennart A","Kester, Lennart | Kester, Lennart A",7,2014,2025,2014,2025,A,Hubrecht/NIOB + Princess Máxima,,
"de Ligt, Joep","de Ligt, Joep",7,2014,2021,2014,2016,A,Hubrecht/NIOB,,
"Wiebrands, Kay","Wiebrands, Kay",7,2015,2019,2015,2019,A,Hubrecht/NIOB,,
"Vonk, Annelotte M","Vonk, Annelotte | Vonk, Annelotte M",7,2016,2019,2016,2016,A,UMC Utrecht Immunology,,
"Bannier-Hélaouët, Marie","Bannier-Hélaouët, Marie",7,2017,2025,2017,2025,A,Hubrecht/NIOB + Princess Máxima,,
"Kim, Seok-Young","Kim, Seok-Young | Kim, Seung",7,2017,2025,2025,2025,A,Princess Máxima,,
"Boonekamp, Kim Elisabeth","Boonekamp, Kim E | Boonekamp, Kim Elisabeth",7,2018,2023,2018,2023,A,Hubrecht/NIOB,,
"Li, Yuanchuang","Li, Yang | Li, Yaqi | Li, Ying | Li, Yiwei | Li, Yuanchuang | Li, Yue",7,2018,2023,,,C,,,
"Ammerlaan, Carola M E","Ammerlaan, Carola | Ammerlaan, Carola M E | Ammerlaan, Carola Me",7,2019,2026,2019,2026,A,Hubrecht/NIOB,,
"Martinez-Silgado, Adriana","Martinez-Silgado, A | Martinez-Silgado, Adriana | Martínez-Silgado, Adriana",7,2020,2024,2020,2024,A,Hubrecht/NIOB,,
"Millen, Rosemary","Millen, Rosemary",7,2021,2024,2021,2024,A,Hubrecht/NIOB,,
"Lim, Sangho","Lim, Sangho",7,2024,2025,2024,2025,A,Hubrecht/NIOB,,
"Dunlap, S","Dunlap, S",6,1987,1990,,,C,,,
"MacHugh, N D","MacHugh, N | MacHugh, N D",6,1990,1995,,,C,,,
"Metzelaar, M J","Metzelaar, M | Metzelaar, M J",6,1991,1995,1992,1992,A,UMC Utrecht Immunology,,
"Lamers, W H","Lamers, W | Lamers, W H",6,1996,1998,,,C,,,
"Korver, W","Korver, W",6,1997,1999,1997,1998,A,UMC Utrecht Immunology,,
"Zhang, Zheng","Zhang, Z | Zhang, Zhen | Zhang, Zheng",6,1998,2025,,,C,,,
"Korswagen, Hendrik C","Korswagen, H C | Korswagen, Hendrik | Korswagen, Hendrik C",6,1999,2013,1999,2002,A,Hubrecht/NIOB + UMC Utrecht Immunology,,
"Meyaard, Linde","Meyaard, L | Meyaard, Linde",6,1999,2019,2001,2001,A,UMC Utrecht Immunology,,
"Oving, Irma M","Oving, I M | Oving, Irma | Oving, Irma M",6,2002,2009,2002,2002,A,UMC Utrecht Immunology,,
"Reed, Karen R","Reed, K R | Reed, Karen R",6,2004,2024,,,C,,,
"Van Gijn, Marielle E","Van Gijn, Marielle E | van Gijn, M E | van Gijn, Marielle E",6,2005,2009,,,C,,,
"Zhang, Jiangwen","Zhang, Jiangwen | Zhang, Jianmin | Zhang, Jiexin | Zhang, Jing | Zhang, Jingshu",6,2007,2023,,,C,,,
"Yuen, Siu Tsan","Yuen, Siu Tsan",6,2010,2025,,,C,,,
"Pronk, Apollo","Pronk, A | Pronk, Apollo",6,2011,2025,,,C,,,
"Hua, Guoqiang","Hua, Guoqiang",6,2012,2023,,,C,,,
"Zheng, Xuan","Zheng, Xiu | Zheng, Xuan",6,2012,2026,2026,2026,A,Hubrecht/NIOB,,
"Gracanin, Ana","Gracanin, Ana",6,2013,2020,2014,2020,A,Hubrecht/NIOB,,
"Mummery, Christine L","Mummery, Christine | Mummery, Christine L",6,2013,2023,,,C,,,
"Sasselli, Valentina","Sasselli, Valentina",6,2013,2017,2013,2017,A,Hubrecht/NIOB,,
"Zhang, Shuang","Zhang, Shu | Zhang, Shuang | Zhang, Shupei | Zhang, Shuxin",6,2013,2025,,,C,,,
"Stratton, Michael R","Stratton, Michael | Stratton, Michael R",6,2014,2022,,,C,,,
"Yan, Helen H N","Yan, Helen H | Yan, Helen H N",6,2014,2025,,,C,,,
"Chen, Chin-Tung","Chen, Chao | Chen, Chen | Chen, Chin-Tung",6,2015,2022,2015,2020,A,Hubrecht/NIOB,,
"Overmeer, René M","Overmeer, Rene | Overmeer, René | Overmeer, René M",6,2015,2023,2016,2023,A,Hubrecht/NIOB,,
"Schutgens, Frans","Schutgens, Frans",6,2015,2021,2015,2021,A,Hubrecht/NIOB,,
"Kuijk, Ewart W","Kuijk, Ewart | Kuijk, Ewart W",6,2016,2026,2016,2016,A,Hubrecht/NIOB,,
"Netea, Mihai G","Netea, Mihai | Netea, Mihai G",6,2017,2021,,,C,,,
"van de Ven, Marieke","van de Ven, Marieke",6,2017,2023,,,C,,,
"Iakobachvili, Nino","Iakobachvili, Nino",6,2018,2023,,,C,,,
"Klein, Christoph","Klein, Christoph",6,2018,2026,,,C,,,
"Kotlarz, Daniel","Kotlarz, Daniel",6,2018,2026,,,C,,,
"Li, Carman Man-Chung","Li, Carman Man-Chung | Li, Cun",6,2018,2025,,,C,,,
"Snapper, Scott B","Snapper, Scott | Snapper, Scott B",6,2018,2026,,,C,,,
"Bar-Ephraim, Yotam E","Bar-Ephraim, Yotam E",6,2019,2022,2019,2022,A,Hubrecht/NIOB,,
"Brosens, Lodewijk A A","Brosens, Lodewijk A A",6,2019,2026,,,C,,,
"Lõhmussaar, Kadi","Lõhmussaar, Kadi",6,2019,2021,2019,2021,A,Hubrecht/NIOB,,
"Boretto, Matteo G","Boretto, Matteo | Boretto, Matteo G",6,2020,2024,2020,2024,A,Hubrecht/NIOB,,
"Knoops, Kevin","Knoops, Kevin | Knoops, Kèvin",6,2020,2024,,,C,,,
"Lamers, Mart M","Lamers, Mart M",6,2020,2024,,,C,,,
"Akkerman, Ninouk","Akkerman, Ninouk",6,2021,2026,2021,2026,A,Hubrecht/NIOB,,
"Bose, Shree","Bose, Shree",6,2021,2024,,,C,,,
"Sanders, Karin","Sanders, Karin",6,2021,2025,2021,2025,A,Princess Máxima,,
"Shen, Xiling","Shen, Xiling",6,2021,2024,,,C,,,
"Baldwin, C L","Baldwin, C L",5,1990,1996,,,C,,,
"Castrop, J","Castrop, J",5,1992,1997,1992,1995,A,UMC Utrecht Immunology,,
"Verbeek, S","Verbeek, S",5,1995,1998,1995,1995,A,UMC Utrecht Immunology,,
"Wilson, A","Wilson, A",5,1995,1998,,,C,,,
"Grosschedl, Rudolf","Grosschedl, R | Grosschedl, Rudolf",5,1996,2004,,,C,,,
"Marx, J J","Marx, J J",5,1996,2000,,,C,,,
"Santos, M M","Santos, M | Santos, M M",5,1996,2000,1996,2000,A,UMC Utrecht Immunology,,
"He, Xingfeng","He, X | He, Xi | He, Xi C | He, Xingfeng | He, Xuelian",5,1998,2023,,,C,,,
"Smit, Linda","Smit, L | Smit, Linda",5,1999,2006,2004,2004,A,Hubrecht/NIOB,,
"Giles, Rachel H","Giles, R H | Giles, Rachel H",5,2001,2011,2003,2003,A,Hubrecht/NIOB,,
"Radtke, Freddy","Radtke, Freddy",5,2003,2008,,,C,,,
"Bos, Johannes L","Bos, Johannes L",5,2005,2023,,,C,,,
"Jansen, Marnix","Jansen, M | Jansen, Marnix",5,2006,2016,2009,2009,A,Hubrecht/NIOB,,
"Athineos, Dimitris","Athineos, Dimitris",5,2007,2025,,,C,,,
"Danenberg, Esther","Danenberg, Esther",5,2008,2010,,,C,,,
"Koster, Jan","Koster, Jan",5,2008,2015,,,C,,,
"Nijman, Isaac Johannes","Nijman, Isaac J | Nijman, Isaac Johannes | Nijman, Isaäc J",5,2008,2017,2014,2016,A,Hubrecht/NIOB,,
"Stunnenberg, Hendrik G","Stunnenberg, Hendrik G | Stunnenberg, Henk G",5,2008,2024,2021,2024,A,Princess Máxima,,
"Versteeg, Rogier","Versteeg, Rogier",5,2008,2015,2014,2014,A,Hubrecht/NIOB,,
"Cai, Jian-Piao","Cai, Jian-Piao | Cai, Jun",5,2009,2025,,,C,,,
"Ng, Ser Sue","Ng, Ser Sue",5,2009,2025,2009,2025,A,Hubrecht/NIOB,,
"Zhao, Xian-Hui","Zhao, Xian-Hui | Zhao, Xian-hui | Zhao, Xiaobei | Zhao, Xiaohong | Zhao, Xiaoyu",5,2009,2025,,,C,,,
"Chen, Xueqing","Chen, Xi | Chen, Xiaobo | Chen, Xin | Chen, Xueqing",5,2010,2023,,,C,,,
"Teunissen, Hans","Teunissen, Hans",5,2010,2017,2013,2013,A,Hubrecht/NIOB,,
"Borel Rinkes, Inne H M","Borel Rinkes, I H M | Borel Rinkes, Inne H | Borel Rinkes, Inne H M",5,2011,2023,,,C,,,
"Van Houdt, Winan J","Van Houdt, W J | Van Houdt, Winan J | van Houdt, Winan | van Houdt, Winan J",5,2011,2025,2025,2025,A,Princess Máxima,,
"Wang, Longlong","Wang, Lihua | Wang, Lin | Wang, Liping | Wang, Liqin | Wang, Longlong",5,2011,2024,,,C,,,
"Rosenstiel, Philip","Rosenstiel, Philip",5,2012,2024,,,C,,,
"Hamer, Karien","Hamer, Karien",5,2013,2023,2014,2023,A,Hubrecht/NIOB,,
"Janssens, Hettie M","Janssens, Hettie M",5,2013,2020,,,C,,,
"Joosten, Sander P J","Joosten, S P J | Joosten, Sander P J",5,2013,2020,,,C,,,
"Wiegerinck, Caroline L","Wiegerinck, Caroline L",5,2013,2016,,,C,,,
"de Jonge, Hugo R","de Jonge, Hugo R",5,2013,2020,,,C,,,
"Ho, Siu Lun","Ho, Siu Lun",5,2014,2025,,,C,,,
"Pachnis, Vassilis","Pachnis, Vassilis",5,2014,2017,,,C,,,
"Sawyers, Charles L","Sawyers, Charles L",5,2014,2019,,,C,,,
"Tsui, Wai Yin","Tsui, Wai Yin",5,2014,2025,,,C,,,
"Chan, Jasper Fuk-Woo","Chan, Jasper Fuk-Woo | Chan, Jefferson",5,2015,2024,,,C,,,
"Dijkstra, Krijn K","Dijkstra, Krijn K",5,2015,2020,,,C,,,
"Geijsen, Niels","Geijsen, Niels",5,2015,2020,2015,2020,A,Hubrecht/NIOB,,
"Jaksani, Sridevi","Jaksani, Sridevi",5,2015,2023,2015,2023,A,Hubrecht/NIOB,,
"Oosterhoff, Loes A","Oosterhoff, Loes A",5,2015,2020,,,C,,,
"Penning, Louis C","Penning, Louis C",5,2015,2020,,,C,,,
"Weeber, Fleur","Weeber, Fleur",5,2015,2019,,,C,,,
"Berkers, Gitte","Berkers, Gitte",5,2016,2020,,,C,,,
"Bredenoord, Annelien L","Bredenoord, Annelien L",5,2016,2024,,,C,,,
